Model,Hyperparameters,Cluster,Training Set Score,Test Set Score
Linear Regression,none,All,0.5514,0.5279
Lasso Linear Regression,alpha=0.5,All,0.0025,-0.0047
Ridge Linear Regression,alpha=1,All,0.5514,0.5279
Random Forest Regressor,"n_estimators=100, max_depth=7",All,0.6023,0.5117
Gradient Boosting Regressor,"learning_rate=1, max_depth=2",All,0.6212,0.5125
Histogram Gradient Boosting Regressor,"learning_rate=0.05, max_depth=4",All,0.6301,0.5450
Histogram Gradient Boosting Regressor,"learning_rate=0.05, max_depth=4",1,0.3124,0.1630
Histogram Gradient Boosting Regressor,"learning_rate=0.05, max_depth=3",2,0.6939,0.5771
Histogram Gradient Boosting Regressor,"learning_rate=1.5, max_depth=1",3,0.8892,
Histogram Gradient Boosting Regressor,"learning_rate=0.05, max_depth=4",4,0.4551,0.3581